LoginFreq,Purchases,AmountSpent,Tickets,DaysInactive,MembershipMonths,Churn
17,0,978,4,68,51,0
4,20,2200,8,135,22,0
18,16,2238,6,175,30,0
8,12,2636,10,43,35,0
4,0,2855,10,144,25,1
2,9,4374,2,22,28,0
30,14,3317,3,63,33,0
6,6,2610,10,174,23,0
22,17,2690,1,173,26,0
10,15,4380,7,41,56,0
4,13,4848,5,153,9,0
22,17,95,2,50,8,0
29,6,3144,4,67,37,0
18,16,4509,4,180,33,0
26,17,2249,0,86,15,0
12,11,3374,4,159,49,0
2,7,2055,5,37,47,0
10,1,1064,9,150,8,1
30,6,3411,9,27,55,0
4,3,3739,10,120,21,1
14,17,2679,10,130,58,0
16,5,285,10,22,3,0
15,8,4756,1,17,9,0
8,8,4100,2,112,52,0
14,13,1115,9,125,14,0
23,7,4691,4,56,38,0
28,18,2942,2,159,27,0
25,2,138,4,43,20,0
30,17,4361,4,121,57,0
8,4,4336,7,133,4,1
21,13,3578,9,130,24,0
16,3,2412,8,121,27,1
13,6,1657,7,132,12,0
18,19,3566,2,162,28,0
15,11,3901,0,112,35,0
21,1,2203,2,134,24,1
24,10,2057,0,175,31,0
26,13,3114,10,5,59,0
25,15,4365,8,61,3,0
28,19,2144,2,56,30,0
28,5,852,7,102,27,0
28,3,1981,5,163,53,1
13,14,4370,2,119,17,0
9,0,3913,8,13,6,0
29,6,3623,7,26,47,0
15,11,401,2,64,43,0
13,9,2289,6,139,18,0
1,4,910,4,62,60,0
25,11,4693,1,175,35,0
7,17,2504,7,124,27,0
9,9,1162,0,70,17,0
24,5,1304,3,75,11,0
1,11,475,10,10,38,1
12,6,2185,10,144,37,0
8,17,3255,3,12,42,0
24,1,497,9,88,34,0
11,9,2948,4,50,47,0
19,14,2636,3,143,32,0
17,11,959,0,59,43,0
8,16,4511,6,62,56,0
3,3,1059,9,72,57,0
3,6,4085,10,50,46,0
1,8,4469,1,54,46,0
27,18,1400,9,54,35,0
5,6,1093,2,156,28,0
10,1,4656,4,104,54,1
7,5,1668,7,51,22,0
26,17,4397,9,74,16,0
9,5,1827,7,161,46,0
28,12,200,1,129,42,0
7,18,470,8,85,54,0
9,1,2531,5,69,40,0
8,11,3486,8,129,12,0
12,14,2715,3,117,5,0
2,13,4376,2,55,26,0
1,5,1167,4,85,26,0
16,17,4276,4,89,13,0
23,4,37,3,173,24,1
23,17,4241,6,73,44,0
30,2,2982,7,80,3,0
24,2,3034,4,168,32,1
5,9,4993,8,110,23,0
3,18,1274,6,61,49,0
12,2,865,6,164,52,1
8,11,4035,7,103,37,0
22,15,1261,3,113,55,0
27,16,4614,9,152,38,0
3,6,3880,5,80,45,0
1,12,1336,4,142,38,0
3,1,1035,0,112,13,1
5,3,371,8,98,15,1
15,9,1228,1,88,2,0
14,6,615,5,100,11,0
3,16,1680,7,120,16,0
1,19,4821,2,129,18,0
5,5,2307,4,47,34,0
26,18,2204,6,149,10,0
23,4,4453,3,39,13,0
14,9,1287,4,3,32,0
7,8,408,0,144,60,0
27,12,2182,3,68,8,0
9,18,2820,6,154,7,0
15,20,2662,9,13,48,0
15,5,2949,6,20,17,0
26,3,831,9,83,41,0
10,2,954,9,27,27,0
28,2,3488,3,130,59,1
13,3,2789,5,10,8,0
19,4,4439,4,89,29,0
7,7,4460,0,19,57,0
17,15,1206,7,143,52,0
20,2,1222,6,103,37,1
29,11,833,4,47,27,0
4,7,1906,9,152,37,0
30,12,4273,9,16,59,0
5,3,2425,6,81,57,0
23,13,545,9,177,24,0
7,13,3020,2,132,45,0
13,12,2637,7,177,16,0
15,5,3787,4,113,26,0
11,16,959,1,159,54,0
29,3,3518,1,66,31,0
4,7,4312,3,54,27,0
13,16,553,6,2,26,0
7,2,3910,9,61,43,0
27,16,3763,3,15,15,0
19,8,4234,8,60,58,0
22,1,2092,1,112,49,1
28,12,2876,5,43,15,0
2,19,2256,3,93,23,0
10,1,1846,5,168,25,1
13,19,86,9,30,44,0
30,10,378,8,63,4,0
25,14,4631,9,24,36,0
21,10,358,8,172,53,0
6,2,4611,8,14,16,0
28,2,4748,8,28,47,0
28,11,4343,2,142,40,0
12,4,1465,10,108,59,1
12,19,2195,8,34,21,0
20,6,3821,2,78,52,0
30,6,3282,9,12,40,0
30,12,3692,2,61,43,0
11,8,1856,4,105,53,0
26,20,1864,5,40,56,0
23,12,2995,8,148,17,0
28,11,4460,0,170,3,0
25,12,2635,7,7,7,0
7,9,2904,3,79,12,0
30,0,568,9,121,1,1
1,7,2906,6,73,43,0
1,15,1927,5,68,37,0
25,12,1264,5,31,6,0
27,2,1691,6,70,46,0
30,2,1824,3,47,60,0
25,4,672,5,179,49,1
20,10,4126,2,58,23,0
13,6,3335,4,150,25,0
9,20,1251,1,24,25,0
3,9,3153,2,34,3,0
7,9,3047,8,63,4,0
6,19,171,5,147,30,0
8,1,4235,2,24,33,0
27,2,1960,1,64,29,0
9,7,4330,4,148,4,0
30,10,1791,9,116,14,0
5,12,4685,4,98,21,0
1,6,1487,0,27,7,0
19,12,3040,2,44,21,0
10,1,3996,6,93,56,1
12,5,116,8,65,7,0
24,8,2678,4,119,1,0
15,19,4945,3,174,60,0
27,1,1174,2,54,34,0
22,17,1167,9,120,23,0
24,15,2256,8,167,3,0
9,11,676,6,7,18,0
20,6,2136,6,54,43,0
17,6,2951,7,43,12,0
30,16,521,9,20,14,0
17,12,259,0,84,41,0
26,10,898,10,153,28,0
20,5,1033,3,43,42,0
12,13,4704,4,127,45,0
30,5,4858,4,155,24,0
7,5,609,0,153,24,0
2,1,3032,2,36,3,0
3,19,2540,1,66,59,0
17,14,2893,6,121,58,0
5,16,2074,4,9,9,0
17,7,1768,2,83,24,0
24,4,3579,10,79,60,0
17,16,1252,7,21,2,0
27,19,4339,0,178,55,0
17,0,2305,0,16,40,0
2,17,1935,5,26,28,0
2,14,2072,0,172,7,0
28,4,3405,3,29,9,0
22,6,450,5,98,45,0
23,17,2753,0,174,39,0
5,5,16,8,71,60,0
1,20,1596,3,177,39,0
1,4,835,8,143,33,1
19,18,3834,8,17,34,0
30,9,1278,5,137,21,0
2,14,3446,6,32,29,0
21,9,3448,0,66,27,0
12,15,1320,4,59,17,0
26,11,4043,2,160,60,0
6,17,1637,9,111,42,0
23,0,1046,9,171,47,1
4,15,487,5,83,48,1
23,5,2688,3,110,23,0
11,2,724,8,59,53,0
24,1,1686,6,30,45,0
27,1,2172,3,11,21,0
17,12,518,10,119,8,0
6,8,391,5,154,9,0
24,15,1190,1,94,58,0
5,4,1855,2,2,33,0
20,20,4380,10,162,58,0
2,6,1728,6,169,4,0
6,12,1110,10,31,59,0
22,19,1870,3,63,18,0
11,12,2101,9,117,32,0
16,6,727,6,127,30,0
16,9,327,8,36,25,0
1,14,4639,4,40,57,0
9,20,1786,0,23,33,0
28,5,2294,4,154,35,0
27,4,1254,5,18,42,0
6,1,1343,10,79,56,0
16,20,3679,1,34,34,0
29,14,1210,7,156,50,0
3,15,1804,1,107,2,0
20,18,2711,8,49,13,0
28,8,1464,1,62,53,0
27,18,1943,2,42,41,0
4,6,756,7,24,23,0
19,3,850,10,163,23,1
26,2,2505,5,177,31,1
3,19,1098,0,77,2,0
19,10,802,3,95,2,0
20,0,1277,4,83,5,0
7,5,1560,10,93,60,0
20,10,2700,2,22,14,0
9,0,302,0,105,23,1
1,20,4032,2,85,55,0
8,6,1414,8,61,57,0
7,5,1658,1,158,35,0
18,13,2826,0,69,46,0
8,1,3920,6,6,1,0
1,3,2928,6,85,41,0
11,10,1407,4,114,48,0
28,14,1703,1,139,49,0
25,17,1047,0,24,40,0
25,0,3862,4,79,15,0
18,2,1572,9,110,30,1
23,2,1122,3,104,21,1
30,6,1301,8,51,8,0
10,0,1171,4,19,7,0
3,10,1039,10,178,41,0
7,5,4347,9,131,34,0
28,19,4267,1,131,57,0
16,2,2749,3,128,42,1
26,18,988,8,92,37,0
16,1,527,7,31,48,0
25,17,792,2,106,53,0
20,11,2841,7,124,32,0
28,9,4190,1,113,33,0
17,4,147,2,175,6,1
2,8,763,4,136,42,0
1,1,2963,10,17,10,0
16,1,4818,9,99,26,1
30,5,2465,9,100,58,0
12,9,2844,7,104,51,0
5,17,589,0,45,45,0
5,11,3265,3,97,26,0
27,3,3276,0,60,19,0
23,20,4659,0,114,35,0
9,16,405,4,21,45,0
9,14,1947,5,112,4,0
3,5,4915,0,149,25,0
19,15,2599,10,125,8,0
16,16,3044,5,28,12,0
16,2,179,4,81,54,0
3,9,2347,3,82,24,0
20,4,3249,9,46,24,0
24,13,3425,4,44,17,0
22,20,3578,7,89,25,0
24,12,3226,8,153,33,0
1,5,3494,10,177,27,0
24,11,4845,1,118,2,0
20,7,1851,5,174,9,0
11,4,3770,2,120,55,1
17,14,4562,1,63,58,0
8,15,3036,0,77,33,0
4,0,3975,3,88,19,0
6,15,1611,7,140,49,0
8,4,1156,2,78,5,0
20,2,4336,4,64,47,0
30,19,2694,9,159,20,0
3,14,121,4,4,24,1
16,12,602,4,83,57,0
30,15,2449,10,6,31,0
25,10,1248,8,91,44,0
3,20,2804,7,22,4,0
25,1,2424,7,145,32,1
29,5,2139,0,29,47,0
18,5,2863,0,145,35,0
14,13,2879,1,2,14,0
18,10,3608,7,32,36,0
2,7,3813,9,150,51,0
22,7,1536,0,103,6,0
3,0,1979,3,175,17,1
16,20,961,8,132,18,0
29,6,1512,1,166,8,0
9,5,4477,2,117,51,0
4,20,3346,10,141,52,0
1,7,119,5,61,12,1
4,18,3996,10,64,17,0
1,20,2364,9,77,31,0
14,19,235,2,33,51,0
21,7,3021,3,98,1,0
16,13,4136,8,166,11,0
20,17,623,8,126,42,0
24,15,108,9,157,16,0
8,8,820,4,61,37,0
7,14,3347,6,32,49,0
3,9,2709,8,139,28,0
17,15,4919,7,18,9,0
1,3,1029,10,45,55,0
16,19,3035,6,21,59,0
12,12,3538,7,12,8,0
27,4,3896,4,103,25,1
19,6,2989,4,20,10,0
22,8,3350,4,7,40,0
23,7,806,0,91,3,0
22,15,1967,5,130,55,0
14,5,3076,4,43,23,0
30,15,3030,7,97,23,0
6,5,2690,7,21,44,0
6,13,4451,1,29,56,0
13,20,4829,10,32,4,0
19,0,2958,5,173,59,1
22,8,3741,10,76,54,0
8,12,1111,9,103,50,0
27,18,1047,9,113,23,0
27,16,4241,5,104,9,0
2,10,801,2,131,53,0
21,7,4184,0,39,4,0
30,4,1788,6,51,34,0
1,9,4810,9,116,39,0
28,6,991,4,8,18,0
15,9,1275,9,110,34,0
1,3,753,4,46,57,0
5,8,2441,10,6,34,0
28,13,384,7,112,42,0
29,1,1763,4,58,3,0
16,8,3907,4,169,19,0
19,20,2546,0,122,34,0
4,0,2001,1,115,26,1
3,9,2938,4,54,35,0
17,9,3456,6,76,41,0
17,19,601,2,169,43,0
12,2,4638,0,48,31,0
28,5,2579,10,70,43,0
30,5,2882,1,155,27,0
29,20,1186,2,47,3,0
14,1,1345,8,117,37,1
21,17,4703,7,23,12,0
6,1,122,3,142,47,1
3,11,3782,7,61,23,0
28,4,1855,8,126,17,1
9,19,1997,2,76,16,0
5,6,4839,5,153,17,0
24,15,1995,7,65,15,0
29,19,3302,9,96,26,0
17,0,3252,6,152,45,1
14,0,262,8,106,2,1
21,16,133,6,178,17,0
3,0,1246,0,129,1,1
28,20,633,8,39,30,0
1,19,3166,4,44,32,0
20,12,3146,5,105,30,0
29,8,3399,1,94,42,0
21,14,3427,1,133,4,0
23,2,1665,3,123,42,1
1,13,1276,3,124,44,0
3,10,2955,4,109,32,0
18,11,1170,6,72,60,0
25,12,2304,10,65,35,0
10,12,450,0,79,1,0
22,0,2102,9,88,19,0
26,9,2715,3,143,33,0
3,2,3769,8,178,19,1
8,3,563,7,6,36,0
14,15,4914,2,66,27,0
24,7,1122,5,69,13,0
18,15,2787,10,115,27,0
15,16,1843,8,167,46,0
22,18,1324,7,105,14,0
23,14,3503,6,98,24,0
2,15,3148,6,96,35,0
27,14,3122,0,157,19,0
10,1,108,4,46,25,0
2,10,3935,6,122,11,0
26,0,1489,1,31,9,0
17,14,4406,5,152,6,0
8,18,1232,1,119,58,0
1,3,4593,2,126,36,1
9,10,1014,0,143,58,0
11,4,486,2,148,37,1
22,2,1145,6,132,29,1
16,12,2866,4,127,9,0
7,9,1715,3,108,33,0
29,10,527,7,138,23,0
10,17,1230,7,41,15,0
23,1,2516,0,53,11,0
26,6,4335,8,87,23,0
3,8,1201,8,121,26,0
18,9,3890,1,76,1,0
25,17,3253,1,48,30,0
24,6,1987,7,143,17,0
13,6,2252,10,135,47,0
28,2,3100,5,72,46,0
26,11,1897,2,171,41,0
7,6,4569,1,4,23,0
25,16,983,4,124,36,0
4,0,75,7,179,41,1
13,4,2916,5,71,60,0
20,15,580,2,126,5,0
1,14,3902,8,59,35,0
8,1,317,7,109,50,1
14,8,3418,9,41,9,0
16,6,3752,5,30,4,0
14,3,792,0,123,7,1
12,19,4226,1,146,1,0
19,17,775,3,30,16,0
23,20,3485,1,135,57,0
15,3,782,2,52,60,0
28,12,3867,7,176,25,0
2,0,3195,8,23,58,0
2,2,549,5,124,6,1
23,15,2059,3,165,38,0
22,3,3293,10,71,14,0
19,15,4685,1,103,54,0
25,18,1673,6,53,37,0
26,0,1057,9,105,11,1
30,4,3846,10,173,1,1
29,18,3449,6,177,52,0
22,10,515,9,49,42,0
26,12,3257,8,111,1,0
26,19,3510,4,175,53,0
22,4,1920,9,107,36,1
17,20,742,3,153,8,0
20,3,3523,9,91,32,1
10,3,1581,5,155,33,1
6,3,4619,1,140,8,1
15,3,2952,1,151,14,1
22,19,4466,8,17,24,0
11,20,2331,6,44,49,0
28,17,3345,6,71,41,0
5,17,4632,4,125,29,0
1,15,4384,6,152,25,0
8,8,2763,8,93,6,0
21,17,1382,9,60,1,0
28,1,1454,4,53,55,0
12,20,3386,8,74,23,0
12,3,299,0,144,41,1
5,11,2075,2,107,33,0
7,6,73,6,98,14,0
4,14,3955,3,25,56,0
6,6,339,1,66,28,0
13,20,4868,2,50,29,0
20,16,1973,6,69,43,0
30,15,3098,7,78,40,0
15,18,2500,10,168,23,0
3,8,150,8,134,44,1
23,13,4549,5,64,38,0
8,16,2483,9,28,49,0
20,4,3913,8,9,43,0
16,1,459,3,6,10,0
13,19,1835,4,145,27,0
18,15,4456,0,168,8,0
28,13,4704,8,99,44,0
10,13,4816,8,173,53,0
30,0,879,8,82,4,0
19,2,3574,2,119,21,1
17,6,3669,9,171,21,0
24,14,3612,9,174,30,0
19,18,402,9,129,13,0
28,19,851,7,63,58,0
26,1,2458,2,125,3,1
23,18,2801,5,18,20,0
26,8,2963,4,86,36,0
5,18,1368,7,20,40,0
26,4,1000,2,48,5,0
21,17,1048,0,54,22,0
30,15,37,8,102,58,0
23,3,397,9,89,2,0
9,11,842,8,144,25,0
12,6,259,2,148,40,0
21,13,2037,1,47,24,0
1,11,1538,3,135,58,0
26,2,4203,7,151,5,1
26,4,1848,5,161,16,1
1,16,1370,9,168,53,0
15,9,3119,0,110,15,0
2,9,1333,7,5,51,0
30,10,2236,4,173,13,0
22,16,3690,5,111,11,0
16,4,901,4,41,16,0
25,12,1315,9,136,18,0
8,9,4558,4,82,25,0
13,8,4202,2,178,47,0
21,16,271,3,31,38,0
1,0,2350,4,4,40,0
16,3,1803,10,56,4,0
29,3,2306,10,5,53,0
7,17,2302,1,81,58,0
5,8,2180,5,54,48,0
22,17,334,1,124,21,0
29,13,995,3,96,11,0
23,14,4792,0,93,58,0
3,5,3862,3,80,52,0
12,9,1749,6,1,59,0
26,14,1870,7,73,34,0
16,3,3147,1,61,30,0
19,17,3908,2,126,54,0
5,17,845,0,7,4,0
22,16,4164,6,158,14,0
25,11,2788,3,125,11,0
29,6,1406,10,15,4,0
14,15,1686,9,108,26,0
28,10,4341,7,4,3,0
5,13,4323,4,63,56,0
15,2,1847,8,70,54,0
17,18,3731,5,38,57,0
30,17,3682,10,175,37,0
14,9,3032,9,2,38,0
30,5,4694,1,8,41,0
20,12,1681,0,51,4,0
5,9,926,0,117,26,0
12,17,927,8,112,39,0
16,19,1143,0,19,45,0
26,15,1846,2,94,42,0
26,5,2148,1,31,44,0
16,12,4017,3,80,42,0
21,3,1915,0,102,11,1
7,13,3999,0,22,11,0
4,0,3495,3,33,54,0
1,19,4807,3,165,38,0
30,4,2130,6,140,38,1
30,7,2742,7,114,20,0
5,11,2779,7,64,26,0
23,1,1331,7,153,38,1
26,11,3726,8,29,12,0
10,4,3364,0,13,55,0
22,4,1538,8,26,29,0
5,12,4753,9,22,14,0
4,8,769,7,93,50,0
2,9,3422,0,76,59,0
20,0,1367,6,110,25,1
10,2,2200,8,92,55,1
26,17,3491,3,73,51,0
19,11,958,8,119,42,0
26,2,2089,0,10,42,0
1,8,1776,8,48,39,0
24,1,37,5,170,26,1
5,2,2480,3,90,10,0
13,13,2548,4,168,14,0
4,3,169,6,6,5,1
16,18,2902,9,132,57,0
24,12,4123,3,91,22,0
16,6,3732,7,55,11,0
23,11,3741,2,126,29,0
2,2,2481,1,131,7,1
17,8,4860,0,7,52,0
28,1,1580,5,88,18,0
27,8,846,1,86,31,0
20,11,4999,7,140,43,0
24,11,3948,10,99,20,0
12,14,2296,9,145,57,0
18,1,3415,3,75,35,0
3,17,2680,8,107,7,0
28,12,4122,3,164,30,0
1,13,4757,3,145,4,0
1,4,4365,7,86,51,0
29,9,1637,7,1,30,0
19,11,1876,4,120,30,0
11,9,214,2,67,30,0
5,10,3589,1,99,53,0
12,1,3184,8,49,18,0
3,4,801,8,51,43,0
1,6,4102,4,71,46,0
1,5,3757,7,120,10,0
8,2,1115,6,171,14,1
10,12,1100,2,112,36,0
11,2,1617,4,31,23,0
12,20,1849,8,24,12,0
29,5,3407,3,37,12,0
13,10,76,2,63,34,0
12,16,4789,6,56,26,0
14,9,1288,7,18,6,0
2,11,4168,4,106,37,0
29,16,823,7,157,51,0
19,3,412,4,77,53,0
18,1,2012,8,4,15,0
3,10,4176,6,121,42,0
23,6,2935,4,140,39,0
17,1,3003,8,48,19,0
26,17,1096,4,147,40,0
8,20,4350,7,26,47,0
29,3,2576,3,108,23,1
26,7,4498,8,38,36,0
10,19,781,5,80,13,0
26,13,3682,5,153,31,0
30,11,3258,2,28,37,0
2,20,1679,2,61,26,0
19,17,1566,3,89,43,0
9,10,2968,0,89,48,0
7,7,1161,5,179,52,0
4,1,1227,0,140,18,1
26,14,2241,10,8,60,0
21,8,4352,3,122,47,0
18,18,3954,6,103,57,0
13,19,2052,5,88,33,0
11,7,715,7,23,40,0
29,18,2679,3,37,32,0
24,4,2123,8,11,4,0
4,10,2987,9,17,41,0
25,14,4359,7,130,19,0
21,7,4388,4,29,7,0
29,18,432,5,57,47,0
25,7,2031,4,162,35,0
4,18,3803,5,78,26,0
10,17,4141,0,122,44,0
5,9,540,3,112,23,0
9,6,100,8,93,34,0
24,8,3382,3,2,51,0
3,0,1952,1,124,56,1
17,18,3815,5,31,7,0
3,4,1250,1,117,11,1
16,18,1768,2,113,51,0
4,0,107,6,44,8,1
18,14,1489,3,127,13,0
17,15,4636,0,90,32,0
7,6,1842,8,114,41,0
24,11,2595,5,74,34,0
23,7,3657,8,46,18,0
30,4,89,2,54,15,0
5,9,4719,4,159,55,0
12,20,2233,8,109,43,0
17,4,2579,5,24,24,0
23,16,1782,1,153,47,0
13,4,4528,0,163,21,1
23,14,1133,8,57,18,0
25,12,3821,0,72,14,0
3,0,3484,4,69,58,0
9,10,2633,0,28,53,0
30,0,1413,4,33,19,0
17,10,2588,4,53,13,0
17,17,341,6,122,57,0
30,17,4758,6,16,16,0
20,20,3618,10,154,2,0
16,15,749,9,140,57,0
25,12,4616,0,87,34,0
22,6,51,8,105,49,0
13,0,4990,0,77,26,0
27,15,3888,4,87,54,0
19,0,1959,6,31,59,0
17,16,3470,7,100,22,0
4,5,2138,1,155,20,0
12,1,4507,0,36,29,0
29,16,2164,3,59,18,0
9,5,1247,3,106,29,0
19,13,1776,9,3,42,0
12,17,1851,5,121,44,0
9,5,515,0,160,27,0
7,9,1851,0,15,35,0
28,17,4825,2,75,29,0
14,8,1404,4,1,6,0
20,7,266,5,133,52,0
19,9,1730,4,90,37,0
26,16,1081,4,6,59,0
15,5,1632,8,133,25,0
16,13,2076,1,116,21,0
21,5,1079,0,73,58,0
5,6,460,5,156,31,0
3,11,907,8,69,59,0
12,2,4846,6,44,40,0
25,13,3738,7,144,50,0
20,18,91,4,150,16,0
27,15,746,9,151,60,0
21,6,4184,3,171,14,0
4,7,3954,5,68,6,0
21,17,2217,2,171,11,0
23,12,3958,0,154,27,0
16,20,2012,10,41,38,0
25,8,1701,3,70,5,0
7,9,1189,8,31,15,0
13,20,2945,3,17,38,0
21,8,2525,0,137,53,0
10,14,4958,3,55,16,0
26,19,471,6,6,18,0
7,1,2911,2,132,53,1
14,12,126,9,107,33,0
26,1,1664,5,88,35,0
5,18,4571,0,18,55,0
3,1,1808,10,160,52,1
23,2,669,3,48,24,0
29,5,3247,2,29,35,0
11,2,2132,0,160,7,1
11,9,3829,2,153,14,0
18,5,3353,3,76,50,0
15,15,2560,4,63,30,0
12,16,4900,5,9,24,0
9,18,1596,1,14,15,0
10,2,4692,1,20,13,0
26,17,2757,5,10,19,0
12,6,644,4,139,29,0
17,8,2892,0,167,22,0
29,19,2821,2,147,2,0
6,11,4463,10,147,39,0
7,4,4025,4,171,13,1
14,2,2749,1,70,36,0
13,10,1894,0,72,38,0
8,3,1528,8,65,18,0
10,4,631,4,151,51,1
9,0,4587,1,104,15,1
18,17,1547,9,60,35,0
27,11,2347,3,138,52,0
26,12,2004,2,63,17,0
2,8,2080,6,130,48,0
5,1,4911,0,36,13,0
29,4,4940,9,118,22,1
5,12,2375,3,57,59,0
6,15,2855,6,79,54,0
19,15,3048,10,20,52,0
8,2,864,9,42,40,0
16,3,2738,4,21,21,0
13,10,925,3,166,26,0
1,13,4948,3,93,46,0
22,2,141,10,78,4,0
20,15,1126,1,24,7,0
17,14,3603,7,26,10,0
7,9,870,3,130,15,0
25,8,303,1,174,26,0
13,10,2698,8,109,16,0
4,15,1009,9,34,40,0
4,9,2306,6,169,34,0
6,16,3695,2,99,17,0
28,18,296,6,143,38,0
19,1,459,0,55,16,0
29,1,2348,0,3,34,0
12,5,3250,3,76,59,0
22,18,2713,3,166,56,0
7,7,3126,3,179,29,0
27,2,4581,8,145,53,1
10,13,262,5,49,18,0
26,15,1429,2,149,11,0
19,0,2346,5,88,12,0
7,20,1245,1,152,37,0
30,2,1009,1,40,2,0
3,17,3770,6,148,54,0
13,8,4126,2,104,56,0
13,5,4421,6,163,18,0
18,20,2621,2,176,54,0
28,0,1456,1,161,38,1
30,20,2180,3,104,33,0
26,9,2931,3,41,9,0
20,5,3693,2,44,15,0
28,11,2271,8,81,28,0
8,3,1955,5,84,8,0
29,12,4944,4,139,60,0
9,16,1863,5,142,46,0
7,7,609,10,170,36,0
1,19,4897,7,12,39,0
3,2,4145,4,17,52,0
13,11,3413,3,90,8,0
28,6,3000,6,25,42,0
30,11,4753,4,26,50,0
25,1,4287,3,175,50,1
28,13,4370,4,153,19,0
17,4,2828,10,60,4,0
25,8,872,3,60,27,0
24,20,4537,7,27,13,0
1,10,4065,7,171,38,0
6,4,1229,0,76,21,0
21,2,3805,2,20,26,0
6,16,4614,10,153,45,0
26,1,4552,3,155,58,1
12,0,537,1,180,23,1
13,6,2932,4,82,54,0
13,13,3214,10,10,30,0
29,4,1172,7,178,31,1
15,18,4774,1,30,31,0
21,10,3574,8,1,16,0
16,1,856,6,54,52,0
22,7,2127,5,4,59,0
21,8,3096,7,135,42,0
11,2,1780,1,30,41,0
28,1,3293,4,90,7,0
5,6,1835,3,65,17,0
4,4,3333,7,124,24,1
3,20,455,0,29,20,1
19,4,1035,2,153,39,1
20,19,1781,9,40,27,0
25,12,1369,7,26,2,0
18,20,28,4,17,60,0
15,19,570,3,159,51,0
9,5,481,5,8,1,0
17,19,37,4,69,34,0
14,17,569,2,1,27,0
15,1,2665,10,79,37,0
1,5,3246,4,71,50,0
21,8,4563,3,46,6,0
22,2,954,0,108,38,1
22,0,3958,0,99,54,1
3,0,3666,6,124,60,1
16,18,4973,3,148,27,0
23,4,3073,0,168,48,1
25,12,1989,5,2,16,0
11,18,2726,10,71,35,0
12,11,4931,10,103,27,0
10,15,825,10,77,35,0
16,18,2336,10,97,58,0
8,2,2340,0,30,55,0
6,11,1012,7,30,36,0
12,4,1552,8,173,38,1
24,1,4214,10,24,28,0
28,6,1239,2,61,56,0
21,12,3315,6,141,3,0
8,14,2539,4,125,57,0
26,2,1440,2,80,41,0
28,20,3922,4,15,31,0
4,19,1542,9,11,3,0
26,4,1902,6,140,38,1
8,7,3134,6,86,53,0
26,0,1431,8,89,52,0
28,7,400,7,3,24,0
18,17,2828,3,24,26,0
28,19,1879,4,89,41,0
28,15,2970,4,9,47,0
5,17,1205,9,46,28,0
9,19,2615,1,94,9,0
4,11,867,6,71,37,0
27,12,3237,6,139,53,0
22,12,1526,8,10,27,0
17,9,1163,8,3,48,0
9,6,852,3,19,3,0
1,13,1692,4,130,41,0
21,15,304,6,145,49,0
20,14,654,9,130,28,0
13,11,3643,6,144,32,0
